,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
111,60.57,1.155,30.0,5.08799,631.0764623555161,-1.0,-1.0,-1.0,0.0,0.0
112,16.65,9.165,10.9,5.75869,630.0907839856643,-1.0,-1.0,-1.0,0.0,0.0
113,23.78,5.774,90.0,5.06227,626.7230580258137,-1.0,-1.0,-1.0,0.0,0.0
114,57.92,19.732,144.2,4.20593,617.1274851554726,-1.0,-1.0,-1.0,0.0,0.0
115,9.53,11.719,20.2,4.96476,590.0402650378225,-1.0,-1.0,-1.0,0.0,0.0
116,59.23,44.736,156.4,4.80231,541.0488774052619,-1.0,-1.0,-1.0,0.0,0.0
117,47.71,36.661,169.1,5.74311,522.1382867102999,-1.0,-1.0,-1.0,0.0,0.0
118,44.84,25.06,4.0,5.78031,492.99806747183135,-1.0,-1.0,-1.0,0.0,0.0
119,30.05,27.592,19.6,5.84968,479.13993669872025,-1.0,-1.0,-1.0,0.0,0.0
120,59.43,28.844,166.1,5.40859,455.55618678463554,-1.0,-1.0,-1.0,0.0,0.0
121,33.43,33.486,90.0,5.81311,443.8806869670642,-1.0,-1.0,-1.0,0.0,0.0
122,16.63,18.583,36.2,5.90842,431.434639196397,-1.0,-1.0,-1.0,0.0,0.0
123,16.63,9.018,176.3,4.05078,435.3037677000793,-1.0,-1.0,-1.0,0.0,0.0
124,44.82,6.429,158.9,5.76768,417.1517097108648,-1.0,-1.0,-1.0,0.0,0.0
125,14.62,6.11,10.9,5.68679,390.88692298497193,-1.0,-1.0,-1.0,0.0,0.0
126,23.65,23.094,90.0,5.32724,379.14514624005983,-1.0,-1.0,-1.0,0.0,0.0
127,44.31,3.055,49.1,4.34895,368.50112422683276,-1.0,-1.0,-1.0,0.0,0.0
128,53.06,7.024,4.7,3.96685,342.7646157716635,-1.0,-1.0,-1.0,0.0,0.0
129,40.77,24.194,18.1,4.5053,285.53653895435826,-1.0,-1.0,-1.0,0.0,0.0
