,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
16535,4.588,0.414,2.359,0.212,0.469,6.133,56.6,-9.0,-4.0,9.0,-9.0,-4.0,9.0,31.432,142.7,551.0,73.32,576.0,92.38,136.0,103.0,5.88319,14.686161853999838,23.0,-1.0,-1.0,-1.0,0.0,0.3723027453563867,1,0.9
16593,2.996,0.672,3.144,4.955,0.475,1.957,56.98,15.0,-17.0,20.0,15.0,-17.0,20.0,12.22,169.1,551.0,253.46,563.0,255.77,660.0,1075.0,5.76091,10.181190056568209,18.0,-1.0,-1.0,-1.0,0.0,0.23555217985041102,1,1.0
16594,2.315,0.297,4.324,4.955,0.475,1.957,44.93,1.0,17.0,-5.0,1.0,17.0,-5.0,22.121,6.0,551.0,269.62,573.0,267.31,1165.0,1075.0,5.91858,15.517888747384033,18.0,-1.0,-1.0,-1.0,0.0,0.041402104367273034,1,0.9
16620,3.496,0.256,2.108,2.996,0.672,3.144,42.17,14.0,0.0,-17.0,14.0,0.0,-17.0,9.165,130.9,558.0,230.94,564.0,237.87,590.0,660.0,4.55653,15.763873553659213,18.0,571.5300911854102,246.7021484374999,12.244825623241583,2.0,0.42706381182491404,1,0.9
16697,0.162,0.784,6.053,0.212,0.469,6.133,19.38,21.0,2.0,-8.0,21.0,2.0,-8.0,11.136,8.9,577.0,92.95,588.0,91.22,109.0,103.0,5.85325,14.905120044666152,23.0,-1.0,-1.0,-1.0,0.0,0.03549463720281308,1,0.9
16726,0.785,0.24,5.011,2.315,0.297,4.324,48.47,8.0,7.0,21.0,8.0,7.0,21.0,9.165,169.1,581.0,267.31,590.0,269.05,1153.0,1165.0,5.70105,17.55469291358485,18.0,595.680653142009,269.7712118459302,6.428972274264474,3.0,0.1996575240454806,1,0.7
16738,0.632,0.224,5.182,3.496,0.256,2.108,29.95,13.0,23.0,12.0,13.0,23.0,12.0,20.0,180.0,584.0,247.11,604.0,247.11,954.0,590.0,5.87971,12.100677296762795,18.0,571.5300911854102,246.7021484375,11.66990881458969,2.0,0.4840832411450515,1,0.9
16791,2.89,0.756,3.223,5.308,0.48,1.637,45.62,10.0,-17.0,16.0,10.0,-17.0,16.0,11.136,128.9,596.0,275.97,603.0,284.63,1172.0,1187.0,5.01239,9.235765875883192,16.0,-1.0,-1.0,-1.0,0.0,0.0,1,1.0
16796,0.632,0.224,5.182,2.89,0.756,3.223,42.39,-11.0,0.0,-5.0,-11.0,0.0,-5.0,8.327,16.1,597.0,269.62,605.0,267.31,954.0,1172.0,5.88881,5.567141703836143,16.0,595.680653142009,269.77121184593017,1.0270874429698686,3.0,0.13280076316764708,1,1.0
17107,4.946,0.654,1.978,0.944,0.071,4.851,46.73,-17.0,-20.0,-15.0,-17.0,-20.0,-15.0,16.042,55.9,677.0,260.38,686.0,247.11,697.0,955.0,5.81938,10.373929421143536,19.0,-1.0,-1.0,-1.0,0.0,0.0,1,1.0
