,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
79188,3.414,0.701,2.375,1.229,0.718,4.532,31.01,-3.0,3.0,1.0,-3.0,3.0,1.0,5.292,100.9,76.0,243.64,77.0,248.84,348.0,295.0,5.84373,10.328110177635413,7.0,-1.0,-1.0,-1.0,0.0,0.11059075097316795,1.0,0.9
79223,5.884,0.762,6.157,5.962,0.381,5.952,23.27,17.0,2.0,6.0,17.0,2.0,6.0,32.884,19.5,86.0,143.18,117.0,132.21,182.0,168.0,5.68075,12.76212432103947,10.0,116.89266055045871,131.44140625,0.0,2.0,0.0,1.0,0.9
79279,0.981,0.323,5.466,5.962,0.381,5.952,49.34,-4.0,5.0,11.0,-4.0,5.0,11.0,13.115,127.6,109.0,121.82,117.0,132.21,149.0,168.0,3.71671,12.76212432103947,10.0,116.89266055045871,131.44140625,0.0,2.0,0.0,1.0,0.9
79310,5.884,0.762,6.157,2.455,0.877,3.502,11.2,4.0,-17.0,10.0,4.0,-17.0,10.0,6.11,169.1,122.0,146.65,128.0,147.8,182.0,241.0,5.88011,8.167753775239564,10.0,-1.0,-1.0,-1.0,0.0,0.2181862268609936,1.0,1.0
79325,2.064,0.295,4.53,3.041,0.665,3.042,45.94,14.0,4.0,15.0,14.0,4.0,15.0,7.024,55.3,129.0,539.82,133.0,534.05,934.0,821.0,5.80209,10.964241452246794,4.0,135.44479457518946,529.7056725543479,5.1931097607221846,2.0,0.25106833464526424,1.0,0.8
79345,5.884,0.762,6.157,0.981,0.323,5.466,53.54,15.0,-11.0,-13.0,15.0,-11.0,-13.0,24.028,177.2,134.0,136.25,158.0,137.41,182.0,149.0,5.66405,7.70891558061064,10.0,-1.0,-1.0,-1.0,0.0,0.1616234760510251,1.0,1.0
79350,3.041,0.665,3.042,2.12,0.166,4.229,37.45,-21.0,-4.0,-11.0,-21.0,-4.0,-11.0,6.11,70.9,136.0,524.23,138.0,518.46,821.0,843.0,5.70225,8.170623614168687,4.0,-1.0,-1.0,-1.0,0.0,0.18965190377309799,1.0,1.0
79351,3.041,0.665,3.042,2.643,0.344,3.85,33.38,-4.0,-1.0,-5.0,-4.0,-1.0,-5.0,9.866,84.2,138.0,518.46,139.0,508.65,821.0,809.0,5.00553,11.691736999353079,4.0,135.44479457518946,529.705672554348,11.443792144372154,2.0,0.4295671298029905,1.0,0.7
79370,3.995,0.205,1.922,2.643,0.344,3.85,40.38,7.0,-11.0,-22.0,7.0,-11.0,-22.0,5.033,66.6,148.0,539.25,150.0,534.63,938.0,809.0,5.80057,8.838460503667864,4.0,-1.0,-1.0,-1.0,0.0,0.15634540989651757,1.0,0.9
79371,2.643,0.344,3.85,2.318,0.199,4.097,10.32,-24.0,7.0,10.0,-24.0,7.0,10.0,6.928,150.0,149.0,540.98,155.0,544.44,809.0,958.0,5.84,13.168225265792705,4.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
79508,6.16,0.648,6.097,3.68,0.107,2.716,48.92,14.0,1.0,-8.0,14.0,1.0,-8.0,53.028,168.7,198.0,663.95,250.0,674.35,1098.0,1176.0,5.91575,6.218776638497653,0.0,-1.0,-1.0,-1.0,0.0,0.23641001857565508,1.0,1.0
79612,6.16,0.648,6.097,4.849,0.605,0.749,43.11,7.0,20.0,5.0,7.0,20.0,5.0,8.718,36.6,250.0,674.35,257.0,669.15,1098.0,1183.0,5.18536,6.218776638497653,0.0,-1.0,-1.0,-1.0,0.0,0.3367249757495768,1.0,1.0
79635,3.68,0.107,2.716,4.849,0.605,0.749,53.15,3.0,15.0,-19.0,3.0,15.0,-19.0,6.429,21.1,257.0,678.39,263.0,676.08,1176.0,1183.0,3.92288,5.16924093369579,0.0,-1.0,-1.0,-1.0,0.0,0.21303236325453645,1.0,1.0
79759,2.491,0.583,3.164,0.42,0.38,0.16,49.51,-14.0,-9.0,5.0,-14.0,-9.0,5.0,9.165,169.1,302.0,525.39,311.0,527.12,839.0,867.0,5.81175,7.402041157581415,3.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
79873,1.633,0.675,3.907,1.234,0.451,5.746,17.97,-29.0,4.0,7.0,-29.0,4.0,7.0,12.49,136.1,349.0,159.93,358.0,168.59,112.0,261.0,5.83879,7.309494301497863,9.0,358.0348623853211,168.99609375,1.155297762385736,2.0,0.07501933521985299,1.0,0.9
79908,0.214,0.79,6.052,1.234,0.451,5.746,48.82,14.0,-12.0,-15.0,14.0,-12.0,-15.0,13.317,25.7,345.0,176.09,357.0,170.32,269.0,261.0,5.85082,7.53589880463155,9.0,358.0348623853211,168.99609375,1.827373575374491,2.0,0.11866062177756437,1.0,0.9
79940,3.098,0.749,3.377,1.633,0.675,3.907,58.21,14.0,11.0,-18.0,14.0,11.0,-18.0,5.292,160.9,361.0,169.16,366.0,170.9,266.0,112.0,5.9174,1.82737357537444,9.0,-1.0,-1.0,-1.0,0.0,0.34377337237889016,1.0,1.0
79961,0.214,0.79,6.052,1.633,0.675,3.907,60.57,12.0,-17.0,-12.0,12.0,-17.0,-12.0,39.95,167.5,370.0,170.9,409.0,179.56,269.0,112.0,5.89138,5.77996653511309,9.0,-1.0,-1.0,-1.0,0.0,0.0022714105672530464,1.0,1.0
80089,1.467,0.621,4.189,6.109,0.626,0.599,42.02,15.0,-4.0,5.0,15.0,-4.0,5.0,19.698,164.7,419.0,245.37,438.0,250.57,482.0,437.0,4.06309,18.63149303951829,6.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
80090,1.467,0.621,4.189,6.109,0.626,0.599,42.02,15.0,-4.0,5.0,15.0,-4.0,5.0,7.024,55.3,438.0,250.57,442.0,244.8,482.0,437.0,5.88938,12.065827101240744,6.0,442.30458715596325,242.85859375000004,1.5329393518280898,2.0,0.12876531814739017,1.0,0.9
80146,5.53,0.536,0.141,6.109,0.626,0.599,40.24,1.0,-7.0,13.0,1.0,-7.0,13.0,5.291,139.1,436.0,237.87,440.0,241.33,329.0,437.0,5.70861,12.50369014733662,6.0,442.30458715596325,242.85859374999993,3.2340511650729313,2.0,0.1916325889652132,1.0,0.9
80195,6.115,0.449,5.81,5.53,0.536,0.141,17.26,-4.0,8.0,-3.0,-4.0,8.0,-3.0,6.11,169.1,451.0,228.05,457.0,229.21,359.0,329.0,5.53063,10.73845956879008,6.0,-1.0,-1.0,-1.0,0.0,0.16788749028739633,1.0,1.0
80224,1.467,0.621,4.189,5.53,0.536,0.141,53.33,13.0,10.0,6.0,13.0,10.0,6.0,5.033,6.6,464.0,243.64,469.0,243.06,482.0,329.0,5.90504,12.448319801055838,6.0,-1.0,-1.0,-1.0,0.0,0.0691813498170018,1.0,1.0
80409,3.759,0.225,2.357,1.671,0.571,3.86,50.1,7.0,-23.0,17.0,7.0,-23.0,17.0,30.265,163.4,537.0,49.07,566.0,57.74,21.0,77.0,5.86641,2.584620466847922,14.0,-1.0,-1.0,-1.0,0.0,0.2682136971877696,1.0,1.0
80486,3.759,0.225,2.357,1.671,0.571,3.86,50.1,7.0,-23.0,17.0,7.0,-23.0,17.0,16.773,153.4,573.0,59.47,588.0,66.97,21.0,77.0,5.70367,4.764820705305989,14.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
80618,2.967,0.564,3.304,2.46,0.769,4.442,46.87,-2.0,-12.0,-23.0,-2.0,-12.0,-23.0,6.928,150.0,615.0,189.95,621.0,193.41,284.0,202.0,5.04954,3.269724770642256,8.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
80841,0.534,0.544,6.138,3.844,0.738,2.089,43.21,-7.0,-22.0,-12.0,-7.0,-22.0,-12.0,24.576,20.6,706.0,621.23,729.0,612.57,1054.0,1017.0,5.90111,8.413481637197975,2.0,740.9590952230308,607.8003771551726,13.407189668607568,2.0,0.6257647528453472,1.0,0.9
80895,3.844,0.738,2.089,4.076,0.73,1.773,12.1,-19.0,6.0,18.0,-19.0,6.0,18.0,11.136,51.1,726.0,608.53,733.0,599.87,1017.0,1020.0,5.90775,9.557192006310084,2.0,-1.0,-1.0,-1.0,0.0,0.441878220558538,1.0,0.8
80918,1.036,0.656,4.546,4.076,0.73,1.773,14.77,15.0,-18.0,-11.0,15.0,-18.0,-11.0,5.292,100.9,733.0,599.87,734.0,605.06,1019.0,1020.0,5.87032,4.08387688761979,2.0,-1.0,-1.0,-1.0,0.0,0.2097405234464957,1.0,1.0
80950,0.534,0.544,6.138,3.891,0.734,1.803,32.79,-12.0,-19.0,-17.0,-12.0,-19.0,-17.0,5.292,160.9,745.0,609.1,750.0,610.84,1054.0,999.0,5.55279,9.028729893396282,2.0,740.9590952230308,607.8003771551726,3.9214931221139437,2.0,0.20279544549678005,1.0,0.9
81724,0.253,0.487,6.113,0.288,0.421,5.889,11.7,10.0,1.0,28.0,10.0,1.0,28.0,29.006,1.1,93.0,321.58,122.0,321.01,907.0,881.0,4.60387,15.90145286819509,8.0,-1.0,-1.0,-1.0,0.0,0.11684826522908026,1.0,0.8
81753,1.24,0.651,4.483,0.288,0.421,5.889,43.65,-9.0,11.0,-15.0,-9.0,11.0,-15.0,23.861,157.2,93.0,295.03,115.0,304.26,851.0,881.0,5.92109,12.707737687406638,8.0,120.399895107621,306.76693220964563,6.718108111836393,1.0,0.30356788286129566,1.0,1.0
81763,3.554,0.771,2.182,2.745,0.725,3.459,49.01,4.0,-16.0,-19.0,4.0,-16.0,-19.0,30.746,24.4,96.0,714.76,124.0,702.06,1805.0,1789.0,1.1301,6.393368883732392,3.0,127.40722643692939,699.3992745535714,4.397890899982859,2.0,0.39626350057861703,1.0,0.8
81827,3.165,0.748,3.187,2.745,0.725,3.459,16.3,-7.0,-26.0,4.0,-7.0,-26.0,4.0,10.263,133.0,120.0,691.67,127.0,699.17,1718.0,1789.0,4.31763,5.62328368073561,3.0,127.40722643692939,699.3992745535714,0.847354174389549,2.0,0.2289501295859204,1.0,1.0
81835,3.549,0.785,2.147,3.165,0.748,3.187,46.12,3.0,-9.0,-26.0,3.0,-9.0,-26.0,9.165,169.1,127.0,699.17,136.0,700.9,1804.0,1718.0,5.79748,5.62328368073561,3.0,-1.0,-1.0,-1.0,0.0,0.40914125200765,1.0,1.0
81838,0.253,0.487,6.113,5.614,0.667,0.747,30.46,-1.0,29.0,-7.0,-1.0,29.0,-7.0,21.071,124.7,130.0,319.85,142.0,337.17,907.0,878.0,5.84658,13.64091907592239,8.0,124.42799279927995,312.39355468750006,8.415533296823728,1.0,0.3048039288367453,1.0,0.9
81853,3.554,0.771,2.182,3.165,0.748,3.187,43.93,2.0,-5.0,-14.0,2.0,-5.0,-14.0,14.189,9.4,136.0,700.9,150.0,698.59,1805.0,1718.0,5.48245,6.766800616223111,3.0,-1.0,-1.0,-1.0,0.0,0.11523857751656169,1.0,0.8
81854,5.614,0.667,0.747,1.24,0.651,4.483,46.93,-22.0,17.0,-9.0,-22.0,17.0,-9.0,12.49,43.9,137.0,300.8,146.0,292.14,878.0,851.0,5.85291,11.659979461709826,8.0,127.19322743085122,309.63455447635135,13.69049528243448,1.0,0.5091039564041424,1.0,1.0
82103,2.65,0.692,3.699,4.657,0.346,1.055,55.87,8.0,-12.0,-13.0,8.0,-12.0,-13.0,60.399,173.4,245.0,148.38,305.0,155.31,314.0,231.0,5.60264,8.918304245628686,10.0,-1.0,-1.0,-1.0,0.0,0.19248769083980635,1.0,1.0
82249,2.74,0.185,3.635,4.657,0.346,1.055,46.85,-4.0,6.0,11.0,-4.0,6.0,11.0,15.875,160.9,275.0,114.89,290.0,120.09,168.0,231.0,5.39134,6.100977200021027,11.0,294.76417641764175,121.494140625,5.310063981846589,2.0,0.5807805005994543,1.0,1.0
82290,2.74,0.185,3.635,4.657,0.346,1.055,46.85,-4.0,6.0,11.0,-4.0,6.0,11.0,24.0,180.0,295.0,121.82,319.0,121.82,168.0,231.0,5.89634,8.255344374553589,11.0,294.76417641764175,121.494140625,5.684341886080802e-14,2.0,0.08150063839104454,1.0,1.0
82358,3.101,0.517,3.367,2.656,0.795,3.518,24.96,12.0,-23.0,14.0,12.0,-23.0,14.0,10.392,90.0,325.0,155.31,325.0,165.7,410.0,579.0,5.90612,14.074523894691442,10.0,324.996399639964,155.009765625,0.0,2.0,0.2968571428571425,1.0,0.9
82359,3.101,0.517,3.367,4.657,0.346,1.055,53.61,-4.0,11.0,-13.0,-4.0,11.0,-13.0,18.148,52.7,325.0,155.31,336.0,140.87,410.0,231.0,5.51874,14.66088945628299,10.0,324.996399639964,155.00976562500006,5.684341886080802e-14,2.0,0.005687981450929973,1.0,0.9
82360,3.101,0.517,3.367,2.65,0.692,3.699,17.77,3.0,-15.0,2.0,3.0,-15.0,2.0,11.547,90.0,325.0,165.7,325.0,177.25,410.0,314.0,5.85384,14.074523894691442,10.0,-1.0,-1.0,-1.0,0.0,0.03772944575632664,1.0,0.9
82605,0.807,0.24,5.528,5.862,0.925,0.841,56.26,-16.0,20.0,-13.0,-16.0,20.0,-13.0,14.422,13.9,415.0,592.94,429.0,589.47,1387.0,1396.0,4.6734,5.931479220726883,6.0,428.2898289828983,589.037109375,0.0,2.0,0.17607134862246046,1.0,1.0
82623,3.485,0.726,3.566,0.807,0.24,5.528,47.34,17.0,-14.0,12.0,17.0,-14.0,12.0,10.392,150.0,420.0,584.28,429.0,589.47,1316.0,1387.0,5.89984,5.931479220726883,6.0,428.2898289828983,589.037109375,0.0,2.0,0.1181017917135664,1.0,1.0
82653,3.485,0.726,3.566,5.862,0.925,0.841,38.78,10.0,1.0,-15.0,10.0,1.0,-15.0,15.1,6.6,429.0,589.47,444.0,587.74,1316.0,1396.0,2.69776,5.931479220726883,6.0,-1.0,-1.0,-1.0,0.0,0.6197984204331036,1.0,1.0
82762,4.374,0.61,1.476,1.166,0.54,4.52,27.45,14.0,27.0,0.0,14.0,27.0,0.0,14.189,129.4,491.0,662.22,500.0,673.19,1720.0,1596.0,5.38118,6.112680442012553,4.0,501.41715982621884,674.8846118356298,2.6990031498299563,2.0,0.3082924223871501,1.0,1.0
82792,5.288,0.68,0.502,4.374,0.61,1.476,33.47,22.0,11.0,-10.0,22.0,11.0,-10.0,14.189,9.4,485.0,678.39,499.0,676.08,1744.0,1720.0,5.60155,6.770320305818618,4.0,501.41715982621884,674.8846118356299,2.625247730104184,2.0,0.23649851726113832,1.0,0.9
82852,2.924,0.414,3.557,2.894,0.653,3.42,16.55,23.0,-10.0,17.0,23.0,-10.0,17.0,5.292,100.9,504.0,213.62,505.0,218.82,725.0,695.0,5.92028,9.04194029115302,9.0,-1.0,-1.0,-1.0,0.0,0.1454747504931179,1.0,0.9
82858,3.458,0.611,2.731,2.64,0.675,3.834,37.17,0.0,-23.0,-20.0,0.0,-23.0,-20.0,7.572,157.6,507.0,231.52,514.0,234.4,800.0,760.0,5.9137,11.405460138851337,9.0,-1.0,-1.0,-1.0,0.0,0.20794797915240948,1.0,0.6
82859,5.242,0.845,0.944,5.658,0.655,1.595,39.93,1.0,-9.0,16.0,1.0,-9.0,16.0,23.065,55.7,507.0,322.74,520.0,303.69,875.0,935.0,4.77711,9.077356043525706,7.0,-1.0,-1.0,-1.0,0.0,0.19151963380961684,1.0,0.9
82865,5.288,0.68,0.502,5.062,0.69,0.807,11.06,8.0,12.0,-13.0,8.0,12.0,-13.0,16.042,124.1,508.0,683.58,517.0,696.86,1744.0,1751.0,5.6361,8.545584735276107,4.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
82872,2.752,0.852,3.503,2.64,0.675,3.834,18.09,-17.0,2.0,-22.0,-17.0,2.0,-22.0,5.291,139.1,512.0,227.48,516.0,230.94,764.0,760.0,5.2907,5.300484289398359,9.0,-1.0,-1.0,-1.0,0.0,0.14529720861413373,1.0,1.0
82874,5.062,0.69,0.807,1.166,0.54,4.52,47.27,19.0,17.0,-6.0,19.0,17.0,-6.0,13.115,7.6,513.0,678.39,526.0,676.65,1751.0,1596.0,5.87297,7.507872370740198,4.0,504.7320784252339,678.7934103260869,7.594533212613899,1.0,0.4023672878252356,1.0,0.8
82890,2.717,0.437,3.394,2.691,0.426,3.667,14.33,-2.0,-1.0,-30.0,-2.0,-1.0,-30.0,10.0,120.0,521.0,208.42,526.0,217.08,712.0,718.0,5.65287,13.562910436729583,9.0,-1.0,-1.0,-1.0,0.0,0.24675047061682934,1.0,0.5
82891,2.691,0.426,3.667,2.894,0.653,3.42,14.81,28.0,1.0,8.0,28.0,1.0,8.0,9.452,102.2,521.0,208.42,523.0,217.66,718.0,695.0,5.91823,10.51702800014725,9.0,-1.0,-1.0,-1.0,0.0,0.2415413511396623,1.0,0.8
82900,1.098,0.647,4.661,0.797,0.384,4.976,17.41,-7.0,16.0,-3.0,-7.0,16.0,-3.0,6.11,49.1,524.0,224.01,528.0,219.39,757.0,756.0,4.59326,10.215791186768914,9.0,527.3843384338434,218.689453125,0.0,2.0,0.1678847929601778,1.0,0.8
82902,2.185,0.763,3.479,2.737,0.642,3.745,44.91,2.0,13.0,-24.0,2.0,13.0,-24.0,5.292,19.1,525.0,80.25,530.0,78.52,102.0,171.0,5.65089,3.753936185370048,12.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
82909,1.098,0.647,4.661,2.717,0.437,3.394,46.12,16.0,19.0,-6.0,16.0,19.0,-6.0,12.055,174.5,528.0,219.39,540.0,220.55,757.0,712.0,5.80733,14.664463913468012,9.0,527.3843384338434,218.689453125,0.0,2.0,0.005328487008410424,1.0,0.5
82914,6.107,0.369,0.074,5.657,0.634,6.278,33.45,-9.0,8.0,17.0,-9.0,8.0,17.0,6.0,120.0,529.0,298.49,532.0,303.69,873.0,895.0,4.86176,6.550199496199109,7.0,535.9021473575929,309.7801339285713,7.773839332748483,2.0,0.5781214421642845,1.0,1.0
82929,5.658,0.655,1.595,6.107,0.369,0.074,32.58,-7.0,-8.0,-13.0,-7.0,-8.0,-13.0,8.718,83.4,534.0,324.47,535.0,315.81,935.0,873.0,5.9096,10.102281540617215,7.0,535.9021473575929,309.7801339285715,5.353474344881721,2.0,0.2249358968437698,1.0,0.9
83380,2.177,0.351,3.409,4.188,0.504,1.504,41.32,-16.0,25.0,-1.0,-16.0,25.0,-1.0,8.327,43.9,712.0,655.87,718.0,650.1,1704.0,1632.0,5.4641,10.51702800014725,5.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
83530,2.444,0.776,4.148,2.285,0.42,4.182,21.7,-8.0,8.0,3.0,-8.0,8.0,3.0,12.166,25.3,767.0,851.59,778.0,846.4,1996.0,1973.0,5.80212,3.455171243481268,0.0,781.3135213995333,844.5778658175356,4.044348640944893,2.0,0.5089130445691848,1.0,1.0
83574,4.264,0.701,1.454,2.285,0.42,4.182,55.75,-7.0,8.0,-10.0,-7.0,8.0,-10.0,16.371,72.2,782.0,842.93,787.0,827.34,1956.0,1973.0,4.52102,3.359135913591331,0.0,781.3135213995333,844.5778658175356,1.7410525608118816,2.0,0.3379463985594554,1.0,1.0
83575,4.264,0.701,1.454,2.444,0.776,4.148,42.14,-9.0,-1.0,10.0,-9.0,-1.0,10.0,11.135,128.9,783.0,845.82,790.0,854.48,1956.0,1996.0,3.81189,4.893820036996464,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
84116,1.537,0.748,3.963,2.548,0.952,4.009,60.72,19.0,10.0,-19.0,19.0,10.0,-19.0,9.866,95.8,1.0,245.37,2.0,255.19,558.0,524.0,5.85351,6.224044920970027,7.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
84257,0.278,0.563,6.153,5.044,0.649,1.923,58.79,-13.0,-16.0,14.0,-13.0,-16.0,14.0,21.166,139.1,15.0,266.16,31.0,280.01,597.0,555.0,5.76934,11.34431367274994,7.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
84304,2.319,0.733,4.606,3.909,0.433,2.206,58.14,14.0,14.0,-13.0,14.0,14.0,-13.0,15.144,142.4,29.0,170.32,41.0,179.56,212.0,222.0,4.41466,27.544162594578314,8.0,58.2408711111111,193.591125,22.812912789536057,1.0,0.4937859911154991,1.0,0.4
84326,4.548,0.58,0.96,4.955,0.439,0.542,14.24,-4.0,-28.0,7.0,-4.0,-28.0,7.0,9.866,24.2,34.0,205.54,43.0,201.5,422.0,394.0,5.08968,20.976760579543033,8.0,56.76752902155885,194.24510261194027,15.378927283967522,1.0,0.41298512959941014,1.0,0.7
84343,0.726,0.54,5.832,4.955,0.439,0.542,58.82,10.0,8.0,-9.0,10.0,8.0,-9.0,6.928,150.0,37.0,198.03,43.0,201.5,242.0,394.0,5.49221,20.976760579543033,8.0,-1.0,-1.0,-1.0,0.0,0.10922293880899389,1.0,0.7
84388,2.319,0.733,4.606,1.297,0.395,4.6,51.39,-6.0,15.0,-17.0,-6.0,15.0,-17.0,8.083,90.0,48.0,167.43,48.0,175.51,212.0,213.0,5.84357,25.8277149166397,8.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.5
84391,1.297,0.395,4.6,0.726,0.54,5.832,44.2,-5.0,0.0,-12.0,-5.0,0.0,-12.0,10.263,167.0,48.0,175.51,58.0,177.82,213.0,242.0,3.48361,18.8987030345786,8.0,59.74346883468835,177.43959603658539,2.124624746323573,2.0,0.26620905015738894,1.0,1.0
84411,1.978,0.605,4.329,1.544,0.225,4.642,24.09,-11.0,14.0,4.0,-11.0,14.0,4.0,37.807,162.2,55.0,463.61,91.0,475.16,1099.0,860.0,5.26995,23.688504968690374,5.0,94.92207895574658,475.8952475823782,4.372784367309794,1.0,0.10075540016842845,1.0,0.8
84417,1.508,0.751,4.192,1.544,0.225,4.642,40.7,-3.0,11.0,-10.0,-3.0,11.0,-10.0,43.313,151.3,58.0,418.0,96.0,438.79,722.0,860.0,5.2593,19.582671070362185,5.0,98.76944444444443,440.42578125,4.302989553604308,2.0,0.21800059008293948,1.0,0.9
84426,0.786,0.518,5.734,1.297,0.395,4.6,41.06,5.0,0.0,13.0,5.0,0.0,13.0,23.352,10.0,62.0,177.82,85.0,173.78,235.0,213.0,5.10698,18.160324644785543,8.0,59.74346883468835,177.43959603658539,2.226873740732748,2.0,0.364289411840971,1.0,1.0
84478,3.628,0.566,2.024,1.978,0.605,4.329,57.24,-13.0,15.0,-13.0,-13.0,15.0,-13.0,15.144,37.6,81.0,487.86,93.0,478.62,1254.0,1099.0,5.72892,25.2878054646082,5.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
84482,4.548,0.58,0.96,0.786,0.518,5.734,52.72,-18.0,11.0,-11.0,-18.0,11.0,-11.0,10.583,160.9,82.0,202.07,92.0,205.54,422.0,235.0,4.42813,19.24690037503037,8.0,60.35754385964911,195.32072368421052,21.706820502186023,1.0,0.5598859195019635,1.0,0.9
84488,1.297,0.395,4.6,3.494,0.42,2.546,41.56,13.0,27.0,-3.0,13.0,27.0,-3.0,11.015,63.0,85.0,173.78,90.0,163.97,213.0,223.0,5.80085,30.944705249745812,8.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.4
84586,1.508,0.751,4.192,2.312,0.598,4.314,52.37,11.0,10.0,-21.0,11.0,10.0,-21.0,13.013,177.5,113.0,440.52,126.0,441.1,722.0,920.0,5.04581,16.696193835744207,5.0,98.76944444444443,440.42578125,13.347222222222243,2.0,0.518814903814126,1.0,1.0
84603,2.305,0.552,4.464,2.312,0.598,4.314,8.73,3.0,-7.0,24.0,3.0,-7.0,24.0,11.136,51.1,119.0,449.76,126.0,441.1,929.0,920.0,5.76073,15.284804484206495,5.0,116.92166666666671,450.78515625,2.4305096434155526,1.0,0.2392609001495686,1.0,1.0
85217,3.506,0.144,2.681,0.547,0.83,5.576,54.77,22.0,-13.0,-11.0,22.0,-13.0,-11.0,28.095,55.3,304.0,978.03,320.0,954.94,2152.0,2088.0,5.85603,1.067777777777735,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
86202,5.482,0.749,0.995,1.564,0.741,3.953,21.87,-3.0,2.0,-1.0,-3.0,2.0,-1.0,9.866,155.8,595.0,146.07,604.0,150.11,125.0,172.0,5.69823,6.220281480401073,9.0,-1.0,-1.0,-1.0,0.0,0.3161470275580306,1.0,1.0
86262,5.482,0.749,0.995,1.564,0.741,3.953,21.87,-3.0,2.0,-1.0,-3.0,2.0,-1.0,18.475,150.0,614.0,158.19,630.0,167.43,125.0,172.0,5.46813,8.130333348850941,9.0,-1.0,-1.0,-1.0,0.0,0.12987371584718835,1.0,1.0
86701,2.648,0.653,3.758,3.506,0.593,2.961,28.66,3.0,29.0,5.0,3.0,29.0,5.0,17.01,19.8,735.0,404.72,751.0,398.95,766.0,699.0,5.75625,12.888274968459795,6.0,-1.0,-1.0,-1.0,0.0,0.31767183222751944,1.0,1.0
86706,2.648,0.653,3.758,3.152,0.81,3.253,22.25,19.0,19.0,9.0,19.0,19.0,9.0,10.392,150.0,736.0,414.54,745.0,419.73,766.0,838.0,5.85898,14.516897115814485,6.0,-1.0,-1.0,-1.0,0.0,0.14762870181761564,1.0,0.7
86799,5.172,0.164,1.112,6.061,0.513,0.343,24.96,-5.0,0.0,-1.0,-5.0,0.0,-1.0,10.0,180.0,757.0,927.8,767.0,927.8,2139.0,2037.0,5.57525,13.375278604576675,2.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
86811,6.032,0.513,0.384,5.172,0.164,1.112,24.89,26.0,-1.0,6.0,26.0,-1.0,6.0,8.0,180.0,759.0,931.27,767.0,931.27,2153.0,2139.0,5.74625,15.168160099425519,2.0,766.6644444444445,930.97265625,0.0,2.0,0.0,1.0,0.9
86813,2.486,0.796,3.929,2.582,0.702,3.762,8.59,-4.0,15.0,13.0,-4.0,15.0,13.0,6.429,98.9,760.0,423.78,761.0,430.13,893.0,894.0,5.87404,13.191715362683873,6.0,755.5370760233918,401.473889802632,22.19210020514025,1.0,0.8007696462941885,1.0,1.0
86814,1.048,0.119,5.226,3.506,0.593,2.961,40.56,27.0,11.0,-7.0,27.0,11.0,-7.0,18.583,36.2,761.0,397.79,776.0,386.82,734.0,699.0,5.12985,13.490826508745908,6.0,759.6014850948511,398.28452743902443,0.8342308795367779,2.0,0.12140747546105399,1.0,1.0
86826,6.032,0.513,0.384,0.065,0.393,0.017,11.44,13.0,-23.0,12.0,13.0,-23.0,12.0,7.024,64.7,764.0,937.62,767.0,931.27,2153.0,2083.0,5.85332,15.168160099425519,2.0,766.6644444444445,930.97265625,0.0,2.0,0.0,1.0,0.9
86831,2.515,0.665,3.79,1.048,0.119,5.226,37.91,-2.0,1.0,0.0,-2.0,1.0,0.0,13.856,150.0,765.0,401.26,777.0,408.19,773.0,734.0,5.11482,12.84852388358255,6.0,759.6014850948511,398.2845274390245,5.611092487773474,2.0,0.4088000401337465,1.0,1.0
86915,6.061,0.513,0.343,0.065,0.393,0.017,10.61,11.0,-17.0,8.0,11.0,-17.0,8.0,22.48,11.9,786.0,916.83,808.0,912.21,2037.0,2083.0,5.20923,9.181387531526092,2.0,-1.0,-1.0,-1.0,0.0,0.15775891373031745,1.0,1.0
87117,3.296,0.72,2.783,4.971,0.227,1.138,44.32,-15.0,-1.0,1.0,-15.0,-1.0,1.0,21.166,19.1,846.0,68.13,866.0,61.2,32.0,80.0,5.68732,9.668987655904797,10.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
